Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_2019_Mouse__Parkinson disease,0.5288335065217141,1.1284743178813588,1.970339e-01,1.000000e+00,1.000000e+00,85/127,32.65%,Cox8c;Cox8b;Cox6b2;Snca;Cox7a1;Th;Slc18a1;Gnai1;Cox7b2;Gpr37;Cyct;Adcy5;Prkn;Cox6a2;Gnal;Drd1;Pink1;Drd2;Lrrk2;Ndufa11;Ndufv3;Slc25a4;Cox6a1;Cox8a;Cox6c;Ndufa5;Ndufs5;Ndufa1;Uba1y;Uqcr10;Slc6a3;Ndufb2;Ndufa4;Sdha;Ndufb11;Uqcr11;Ndufb6;Ndufc1;Ndufb9;Atp5g1;Ndufv2;Ndufs1;Casp9;Sdhc;Ndufs6;Ndufs3;Cox7a2;Ndufc2;Ndufa12;Ndufb7;Ndufb4;Cyc1;Ndufv1;Ndufb10;Ndufa7;Atp5g3;Uqcrc1;Cox4i1;Ppif;Ndufa2;Cox7c;Vdac1;Uqcrc2;Atp5a1;Cox5b;Ndufb3;Ndufs7;Atp5b;Uqcrb;Ndufa13;Cox7b;Ndufa6;Park7;Atp5o;Ndufa3;Prkacb;Ndufab1;Uqcrq;Ndufa10;Atp5j;Ndufs2;Ndufa9;Cycs;Uqcrh;Atp5h
prerank,KEGG_2019_Mouse__Antigen processing and presentation,-0.5637809698135958,-1.1262418707370443,2.270916e-01,1.000000e+00,1.000000e+00,35/80,13.33%,Klrc3;H2-Eb1;Ciita;H2-Aa;H2-Ab1;Cd74;Klrc2;Klrd1;H2-M2;Cd4;Klrc1;H2-M5;Ifng;H2-Q7;H2-DMb2;Tap1;H2-T22;H2-K1;Cd8b1;H2-Q4;Gm11127;Cd8a;Ifi30;B2m;H2-D1;Ctss;H2-Q6;H2-DMa;H2-DMb1;H2-T23;Tapbp;H2-M3;Psme2;Psme1;Lgmn
prerank,KEGG_2019_Mouse__Cellular senescence,-0.5107095748506554,-1.1252495439649632,1.812627e-01,1.000000e+00,1.000000e+00,58/174,16.75%,Gata4;Calm4;Ccnb1;Ccne1;Ccna2;Foxm1;Ccnb2;H2-M2;Cdk1;Ccna1;H2-M5;Chek1;Mybl2;Cdkn2a;Slc25a31;H2-Q7;E2f1;Hipk4;H2-T22;H2-K1;Eif4ebp1;H2-Q4;Gm11127;H2-D1;Cdk6;H2-Q6;Capn1;Ccnd1;H2-T23;Trp53;Cdc25a;Ccnd2;Rbl1;Mapk11;Pik3cd;H2-M3;Lin9;Tgfb1;Myc;Nfatc4;E2f2;Tgfb3;Rras2;E2f4;Map2k3;Cdkn1a;Cdk4;Ccne2;Nfatc2;Rassf5;Rad9a;Nfkb1;Ets1;E2f3;Akt1;H2-Q10;Tgfbr1;Nras
prerank,KEGG_2019_Mouse__Mucin type O-glycan biosynthesis,-0.6720337782775226,-1.109828607008432,3.333333e-01,1.000000e+00,1.000000e+00,1/28,0.98%,Gcnt3
prerank,KEGG_2019_Mouse__Propanoate metabolism,0.6443553266538347,1.1068391566215439,3.589251e-01,1.000000e+00,1.000000e+00,21/30,24.73%,Ldhc;Acss3;Aldh6a1;Ehhadh;Acacb;Mcee;Ldhb;Abat;Pccb;Sucla2;Acat1;Pcca;Bckdhb;Echs1;Acss2;Mlycd;Echdc1;Hibch;Acaca;Suclg1;Acadm
prerank,KEGG_2019_Mouse__Fatty acid elongation,0.654589742120391,1.1063843174175199,3.708487e-01,1.000000e+00,1.000000e+00,19/29,29.42%,Them5;Acot3;Acot1;Acaa2;Elovl7;Acot2;Acot4;Hadhb;Echs1;Elovl5;Hadh;Hacd3;Acot5;Tecr;Acot7;Mecr;Hadha;Elovl6;Elovl2
prerank,KEGG_2019_Mouse__Nicotinate and nicotinamide metabolism,-0.6296973743711207,-1.0974617736215697,3.406375e-01,1.000000e+00,1.000000e+00,7/35,12.25%,4933425L06Rik;Art2b;Nnmt;Aox4;Bst1;Aspdh;Enpp3
prerank,KEGG_2019_Mouse__Leishmaniasis,-0.5719829532608173,-1.0954820387687667,2.826087e-01,1.000000e+00,1.000000e+00,37/65,16.87%,Il12b;H2-Eb1;H2-Aa;H2-Ab1;Fcgr4;Ifng;H2-DMb2;Itga4;Cybb;C3;Stat1;Il10;Marcksl1;Ncf4;H2-DMa;Ptpn6;H2-DMb1;Il1b;Fcgr1;Mapk11;Cyba;Tgfb1;Fcgr3;Myd88;Ifngr1;Nos2;Tlr4;Tgfb3;H2-Oa;H2-Ob;Nfkbia;Ifngr2;Nfkb1;Itgam;Irak4;Ncf2;Ncf1
prerank,KEGG_2019_Mouse__Ovarian steroidogenesis,-0.5900777591867993,-1.0921103714252496,3.045187e-01,1.000000e+00,1.000000e+00,4/57,3.51%,Pla2g4f;Cyp19a1;Pla2g4d;Cga
prerank,KEGG_2019_Mouse__Human T-cell leukemia virus 1 infection,-0.4859155020272953,-1.0919237348647166,2.193676e-01,1.000000e+00,1.000000e+00,79/235,16.75%,Mmp7;Fosl1;H2-Eb1;Ccne1;Bub1b;H2-Aa;Ccna2;H2-Ab1;Lta;Ccnb2;Il2rb;H2-M2;Cd4;Ccna1;H2-M5;Il2rg;Il2ra;Chek1;Cdc20;Il1r2;Cdkn2a;Slc25a31;Cd40;Itgal;H2-Q7;Creb3l3;H2-DMb2;Cd3d;E2f1;Lck;Cd3g;Mad2l1;Cd3e;Nfkb2;H2-T22;H2-K1;H2-Q4;Gm11127;Cdkn2c;B2m;H2-D1;H2-Q6;Ccnd1;H2-DMa;H2-DMb1;Relb;H2-T23;Map3k14;Trp53;Spi1;Ccnd2;Pik3cd;Jak3;H2-M3;Tgfb1;Myc;Adcy7;Nfatc4;E2f2;Tgfb3;Cdkn1a;Cdk4;Ccne2;Nfatc2;Calr;H2-Oa;H2-Ob;Espl1;Nfkbia;Anapc10;Kat2a;Nfkb1;Srf;Ets1;E2f3;Akt1;H2-Q10;Tgfbr1;Nras
prerank,KEGG_2019_Mouse__N-Glycan biosynthesis,-0.5915123808497176,-1.0918917357444557,3.232932e-01,1.000000e+00,1.000000e+00,1/50,3.41%,Mgat4d
prerank,KEGG_2019_Mouse__Starch and sucrose metabolism,-0.6452866795490885,-1.0884618139276676,3.734177e-01,1.000000e+00,1.000000e+00,3/33,6.45%,Sis;G6pc;Treh
prerank,KEGG_2019_Mouse__Peroxisome,-0.5437853831890567,-1.0866801807532676,2.686567e-01,1.000000e+00,1.000000e+00,2/84,2.71%,Hao1;Agxt
prerank,"KEGG_2019_Mouse__Valine, leucine and isoleucine degradation",0.5738664611205521,1.0859879787170286,3.300000e-01,1.000000e+00,1.000000e+00,34/54,28.91%,Agxt2;4930438A08Rik;Acaa1b;Acad8;Aldh6a1;Ehhadh;Aldh2;Aox1;Acaa2;Mcee;Abat;Pccb;Acat1;Mccc1;Pcca;Bckdhb;Hadhb;Acaa1a;Aldh7a1;Mccc2;Ivd;Echs1;Hibadh;Auh;Hadh;Hibch;Acadm;Acadsb;Hsd17b10;Aldh3a2;Aox2;Aldh9a1;Hadha;Acsf3
prerank,KEGG_2019_Mouse__Cysteine and methionine metabolism,0.5803620472964026,1.0844875550666377,3.217054e-01,1.000000e+00,1.000000e+00,21/49,25.00%,Agxt2;4930438A08Rik;Ldhc;Bhmt2;Bhmt;Mat1a;Amd1;Tat;Ahcyl2;Kyat1;Ldhb;Amd2;Cdo1;Cbs;Mdh1;Got1;Sdsl;Sds;Mpst;Gss;Gclc
prerank,KEGG_2019_Mouse__Phospholipase D signaling pathway,-0.4992506566255218,-1.0805183995011753,2.644135e-01,1.000000e+00,1.000000e+00,18/148,12.64%,Pla2g4f;Cxcr1;Pla2g4d;Avp;Pla2g4c;F2r;Avpr1a;Lpar2;Ms4a2;Fcer1a;Agtr1a;Fcer1g;Sphk1;Pdgfra;Grm6;Pik3r5;Pik3cd;Lpar5
